"","Df","SumOfSqs","R2","F","Pr(>F)"
"Sample_site",4,0.909968980792881,0.231992688414667,4.30451085561273,0.003996003996004
"Residual",57,3.01243472516525,0.768007311585332,NA,NA
"Total",61,3.92240370595813,1,NA,NA
